지점명,일시,일조시간,일사량
서귀포,2024-10-01,146.1,377.22
서귀포,2024-11-01,161.5,300.94
서귀포,2024-12-01,191.1,306.98
서귀포,2025-01-01,187.9,332.51
서귀포,2025-02-01,185.1,387.1
서귀포,2025-03-01,162.6,442.46
서귀포,2025-04-01,213.8,592.32
서귀포,2025-05-01,62.8,173.82
성산,2019-01-01,160.7,0.0
완도,2022-12-01,161.0,0.22
