연도,읍면동,구분,노지온주(극조생),노지온주(조생),노지온주(보통),하우스감귤(조기출하),비가림(월동)감귤,만감류(시설),만감류(노지),데이터기준일
2013,남원읍,생산량,7110.0,141747.0,7005.0,10951.0,15283.0,21553.0,525.0,2024-05-13 00:00:00
2013,성산읍,농가수,73.0,1079.0,25.0,1.0,129.0,138.0,54.0,2024-05-13 00:00:00
2013,성산읍,면적,39.0,826.0,20.0,0.0,52.0,59.0,5.0,2024-05-13 00:00:00
2013,성산읍,생산량,1180.0,29609.0,748.0,14.0,1793.0,1497.0,113.0,2024-05-13 00:00:00
2013,안덕면,농가수,132.0,1101.0,18.0,7.0,115.0,132.0,20.0,2024-05-13 00:00:00
2013,안덕면,면적,81.0,762.0,11.0,2.0,51.0,46.0,15.0,2024-05-13 00:00:00
2013,안덕면,생산량,2475.0,24820.0,320.0,132.0,1782.0,1482.0,346.0,2024-05-13 00:00:00
2013,표선면,농가수,50.0,919.0,32.0,98.0,151.0,539.0,8.0,2024-05-13 00:00:00
2013,표선면,면적,36.0,936.0,25.0,37.0,93.0,211.0,2.0,2024-05-13 00:00:00
2013,표선면,생산량,1119.0,30954.0,890.0,2624.0,2633.0,8915.0,60.0,2024-05-13 00:00:00
2013,송산동,농가수,8.0,327.0,9.0,28.0,5.0,92.0,0.0,2024-05-13 00:00:00
2013,송산동,면적,3.0,168.0,4.0,13.0,2.0,30.0,0.0,2024-05-13 00:00:00
2013,송산동,생산량,42.0,5562.0,134.0,857.0,22.0,559.0,0.0,2024-05-13 00:00:00
2013,천지동,농가수,10.0,27.0,13.0,0.0,0.0,7.0,0.0,2024-05-13 00:00:00
2013,천지동,면적,3.0,9.0,4.0,0.0,0.0,3.0,0.0,2024-05-13 00:00:00
2013,천지동,생산량,99.0,315.0,128.0,0.0,0.0,64.0,0.0,2024-05-13 00:00:00
2013,효돈동,농가수,52.0,677.0,0.0,40.0,26.0,174.0,0.0,2024-05-13 00:00:00
2013,효돈동,면적,36.0,302.0,0.0,16.0,18.0,53.0,0.0,2024-05-13 00:00:00
2013,효돈동,생산량,1697.0,13675.0,0.0,1280.0,441.0,1416.0,0.0,2024-05-13 00:00:00
2013,영천동,농가수,52.0,797.0,24.0,22.0,50.0,338.0,0.0,2024-05-13 00:00:00
2013,영천동,면적,29.0,628.0,20.0,3.0,27.0,128.0,0.0,2024-05-13 00:00:00
2013,영천동,생산량,1006.0,23899.0,829.0,195.0,779.0,3494.0,0.0,2024-05-13 00:00:00
2013,동홍동,농가수,15.0,431.0,8.0,0.0,4.0,51.0,0.0,2024-05-13 00:00:00
2013,동홍동,면적,10.0,163.0,6.0,0.0,1.0,17.0,0.0,2024-05-13 00:00:00
2013,동홍동,생산량,298.0,5035.0,179.0,0.0,143.0,437.0,0.0,2024-05-13 00:00:00
2013,서홍동,농가수,28.0,318.0,19.0,23.0,10.0,29.0,0.0,2024-05-13 00:00:00
2013,서홍동,면적,18.0,247.0,11.0,16.0,5.0,12.0,0.0,2024-05-13 00:00:00
2013,서홍동,생산량,497.0,6661.0,297.0,1278.0,147.0,252.0,0.0,2024-05-13 00:00:00
2013,대륜동,농가수,15.0,411.0,11.0,3.0,0.0,96.0,6.0,2024-05-13 00:00:00
2013,대륜동,면적,13.0,441.0,6.0,1.0,0.0,36.0,1.0,2024-05-13 00:00:00
2013,대륜동,생산량,306.0,10486.0,139.0,98.0,0.0,822.0,14.0,2024-05-13 00:00:00
2013,대천동,농가수,88.0,768.0,44.0,31.0,79.0,579.0,5.0,2024-05-13 00:00:00
2013,대천동,면적,85.0,529.0,33.0,13.0,59.0,169.0,1.0,2024-05-13 00:00:00
2013,대천동,생산량,2391.0,15127.0,945.0,842.0,1811.0,5296.0,14.0,2024-05-13 00:00:00
2013,중문동,농가수,95.0,1382.0,12.0,29.0,32.0,168.0,14.0,2024-05-13 00:00:00
2013,중문동,면적,67.0,567.0,9.0,4.0,25.0,54.0,3.0,2024-05-13 00:00:00
2013,중문동,생산량,1752.0,16418.0,262.0,294.0,800.0,1508.0,103.0,2024-05-13 00:00:00
2013,예래동,농가수,36.0,657.0,6.0,8.0,5.0,119.0,11.0,2024-05-13 00:00:00
2013,예래동,면적,31.0,572.0,3.0,6.0,4.0,39.0,2.0,2024-05-13 00:00:00
2013,예래동,생산량,994.0,17329.0,105.0,403.0,104.0,1147.0,45.0,2024-05-13 00:00:00
